brand,km_driven,fuel,owner,selling_price
Nissan,186846,LPG,Third Owner,174790
Ford,139109,Diesel,First Owner,243786
Maruti,31633,Diesel,Fourth Owner,65935
Skoda,27495,Petrol,Third Owner,392775
MG,67550,Electric,First Owner,575608
MG,39483,Electric,First Owner,358176
Ford,116181,Electric,Third Owner,350146
Mahindra,37069,Petrol,Second Owner,488054
Toyota,141442,CNG,Third Owner,312696
Tata,122873,CNG,Third Owner,594428
Volkswagen,119843,LPG,Second Owner,135591
BMW,74947,CNG,First Owner,229809
Fiat,173205,CNG,Third Owner,261706
Honda,98761,Electric,Second Owner,598349
Skoda,116753,Diesel,Fourth Owner,408734
BMW,134764,CNG,Fourth Owner,534331
Jeep,31926,CNG,Second Owner,445198
Volkswagen,102782,Petrol,First Owner,394750
Isuzu,107700,LPG,Second Owner,113474
Kia,76984,Petrol,First Owner,424340
Volvo,177462,Electric,Fourth Owner,101632
Datsun,52593,Diesel,Third Owner,458625
Volvo,78609,LPG,Second Owner,59529
Ford,8209,Petrol,Fourth Owner,598442
Renault,129700,CNG,Third Owner,82882
MG,140605,CNG,Fourth Owner,589989
Maruti,89597,LPG,Second Owner,256353
Maruti,10211,CNG,Second Owner,52988
Fiat,12927,Petrol,Third Owner,85919
Hyundai,120333,Petrol,Second Owner,553239
Jeep,158666,CNG,Fourth Owner,59013
Skoda,79382,CNG,Third Owner,482329
Volkswagen,142005,Electric,Third Owner,57838
Maruti,106780,Diesel,Fourth Owner,81368
Jeep,43696,LPG,First Owner,297368
Mahindra,199521,Petrol,Third Owner,358241
Ford,70616,LPG,First Owner,236845
Honda,140161,Electric,Fourth Owner,458039
MG,190620,Petrol,Fourth Owner,179802
Jeep,160195,Electric,Third Owner,316579
Volvo,141869,Electric,Second Owner,107955
Ford,53013,CNG,Third Owner,371651
Chevrolet,142418,LPG,Second Owner,101033
Ford,167744,LPG,First Owner,97219
Fiat,151725,CNG,Second Owner,532996
Datsun,52556,LPG,Third Owner,248300
Chevrolet,126723,CNG,Second Owner,458739
BMW,29140,Petrol,Fourth Owner,424770
Ford,4184,Electric,First Owner,223277
MG,168565,Electric,Fourth Owner,416540
Jeep,178220,LPG,Fourth Owner,66375
Jeep,158918,Diesel,Fourth Owner,183783
Mahindra,114361,Electric,Fourth Owner,321326
Toyota,156267,CNG,Second Owner,484166
Maruti,8606,Diesel,Fourth Owner,193992
Ford,138028,Diesel,Second Owner,596432
Kia,19555,Electric,Fourth Owner,170270
Ford,93385,Electric,Third Owner,138909
Toyota,152762,Electric,Fourth Owner,497158
Hyundai,61502,CNG,Third Owner,251632
BMW,182921,Diesel,Second Owner,345943
Kia,160419,LPG,First Owner,509993
Volvo,106844,CNG,Second Owner,84510
Maruti,94321,Petrol,First Owner,547229
Ford,52056,Electric,First Owner,137919
Volkswagen,197923,Diesel,Fourth Owner,163043
Toyota,101234,CNG,First Owner,472191
Jeep,44850,Petrol,Second Owner,365386
Jeep,30843,CNG,Fourth Owner,96546
Hyundai,65320,CNG,First Owner,535303
Datsun,32793,LPG,Second Owner,530265
BMW,173588,LPG,First Owner,181235
MG,151929,CNG,First Owner,282686
Isuzu,22627,Petrol,Fourth Owner,364684
Honda,64822,Diesel,Fourth Owner,526131
Maruti,186320,Diesel,Second Owner,294367
Maruti,58798,Electric,Fourth Owner,105313
Volvo,178188,Electric,Fourth Owner,79870
Nissan,78318,Diesel,Third Owner,174703
Ford,107186,CNG,Third Owner,472698
MG,90902,CNG,Second Owner,369399
Honda,162629,LPG,Fourth Owner,508146
Maruti,74334,LPG,Second Owner,493716
Maruti,109719,Electric,Third Owner,511003
Skoda,126099,Diesel,Third Owner,335818
Kia,176686,CNG,Third Owner,352570
Nissan,15720,Diesel,Second Owner,99584
MG,60608,Petrol,Fourth Owner,119353
Volkswagen,110449,Diesel,First Owner,132990
MG,105828,Petrol,Fourth Owner,345906
Chevrolet,129613,LPG,Second Owner,431150
Hyundai,75095,LPG,Third Owner,531204
Volvo,108924,Electric,First Owner,450886
Isuzu,99452,Diesel,Second Owner,267759
Honda,90593,Diesel,Third Owner,591629
Datsun,169964,Petrol,Second Owner,145140
Skoda,109975,LPG,First Owner,67015
Kia,80242,Petrol,Third Owner,99849
Hyundai,119041,LPG,Fourth Owner,426863
Volvo,129202,Petrol,Second Owner,65852
Renault,80606,LPG,First Owner,423938
Mahindra,126769,Petrol,Fourth Owner,436917
Toyota,121542,LPG,First Owner,514944
Isuzu,109438,Petrol,Second Owner,77410
Volkswagen,3924,Diesel,First Owner,253014
Nissan,54322,Electric,Third Owner,455480
Toyota,160550,Petrol,First Owner,340182
Toyota,74042,Electric,Second Owner,285530
Kia,49418,Diesel,Third Owner,321280
Ford,196289,Diesel,First Owner,325357
Renault,103699,LPG,First Owner,258680
Honda,93140,Electric,Third Owner,158546
Datsun,14781,CNG,Fourth Owner,544805
Honda,139587,LPG,Fourth Owner,92290
Jeep,120358,Electric,Third Owner,528751
Toyota,39133,Petrol,First Owner,180374
Isuzu,100628,Petrol,Fourth Owner,92747
Datsun,79946,Diesel,Third Owner,385138
Mahindra,88058,CNG,Second Owner,569116
Ford,143167,Petrol,First Owner,574339
MG,154542,Electric,Second Owner,513142
Datsun,46129,Electric,First Owner,266643
Volkswagen,11531,Petrol,Fourth Owner,303116
Honda,40038,Electric,Second Owner,340635
Renault,90939,Electric,Second Owner,241037
Datsun,45674,Diesel,Third Owner,423200
Datsun,130572,CNG,Fourth Owner,97361
BMW,32831,Diesel,Fourth Owner,399829
Jeep,60174,CNG,First Owner,144841
Volkswagen,14279,Electric,Third Owner,512506
Volvo,172292,CNG,Third Owner,564136
Datsun,63610,Electric,First Owner,565750
Toyota,186791,Electric,Second Owner,287903
MG,56051,Diesel,First Owner,156379
Renault,59652,Diesel,First Owner,59756
Volvo,68524,LPG,First Owner,114079
MG,9470,Petrol,Third Owner,503682
Renault,175870,LPG,First Owner,583615
Mahindra,56473,LPG,First Owner,224380
Chevrolet,153952,CNG,First Owner,155561
BMW,47439,Electric,Fourth Owner,406580
Volvo,17308,Electric,Second Owner,66533
Fiat,94563,Electric,Second Owner,571970
Jeep,38081,Petrol,Second Owner,147417
Ford,184455,CNG,Second Owner,405462
Honda,12837,CNG,Third Owner,90429
MG,186223,Electric,Third Owner,494942
BMW,121128,LPG,First Owner,398492
Toyota,170896,Petrol,Third Owner,463869
Jeep,167145,LPG,Second Owner,587942
Mahindra,115651,Diesel,Fourth Owner,445324
Volkswagen,100624,CNG,First Owner,381627
Kia,160371,CNG,First Owner,582187
Mahindra,192933,LPG,Second Owner,194444
Chevrolet,33063,Petrol,Second Owner,480898
Ford,72453,CNG,Second Owner,511015
Honda,105166,LPG,Third Owner,79295
Nissan,17506,Petrol,First Owner,509329
Nissan,116604,LPG,Second Owner,392709
Isuzu,29026,Petrol,Fourth Owner,99574
Fiat,161744,Electric,First Owner,413211
MG,172489,Petrol,First Owner,246006
Renault,55413,Diesel,Third Owner,80066
Kia,68066,Electric,First Owner,264221
MG,193285,LPG,Second Owner,190017
Datsun,53971,Electric,Second Owner,79418
Tata,161353,Electric,Fourth Owner,132607
Mahindra,116978,LPG,First Owner,460346
Chevrolet,162163,LPG,First Owner,180538
Volkswagen,53494,Diesel,Third Owner,263699
Skoda,106864,LPG,Second Owner,262465
Kia,152682,CNG,Fourth Owner,484610
Renault,135151,CNG,Second Owner,554588
Isuzu,98386,Diesel,First Owner,307470
Hyundai,180823,Petrol,First Owner,411981
Ford,89126,Petrol,Fourth Owner,263161
Ford,189504,CNG,First Owner,329548
Tata,165023,LPG,Fourth Owner,63156
Volvo,83863,Diesel,Fourth Owner,498834
Skoda,81291,Petrol,Second Owner,99999
Jeep,128659,Petrol,Fourth Owner,457001
Volkswagen,193944,Electric,First Owner,229431
Maruti,10235,CNG,Third Owner,534023
BMW,85733,LPG,Third Owner,326838
Datsun,65712,Diesel,First Owner,238302
Mahindra,155545,Petrol,Third Owner,82799
Volkswagen,128849,Electric,Third Owner,192228
Toyota,82823,CNG,Fourth Owner,352789
Toyota,107215,CNG,Third Owner,500198
Tata,35230,Diesel,Third Owner,389758
Volvo,87573,Petrol,Third Owner,272686
MG,43644,Diesel,Second Owner,183387
Mahindra,182736,Diesel,First Owner,278339
Kia,48203,Electric,Fourth Owner,62420
Volvo,69677,CNG,Third Owner,330456
Mahindra,159497,LPG,First Owner,352445
Honda,126246,CNG,Third Owner,301985
Volkswagen,87817,CNG,Second Owner,96972
Volkswagen,72806,Electric,Second Owner,130853
Isuzu,45814,LPG,Third Owner,132504
BMW,73219,Petrol,Third Owner,171373
Skoda,183718,LPG,Third Owner,382924
Renault,173956,Petrol,Second Owner,474145
Mahindra,98345,LPG,Second Owner,418602
Maruti,103088,Diesel,First Owner,559652
Honda,72322,LPG,Fourth Owner,375764
Volkswagen,24650,Electric,Fourth Owner,453837
Datsun,97242,Petrol,Second Owner,167781
Maruti,143262,CNG,Fourth Owner,575261
Tata,41196,Electric,Third Owner,290210
Tata,173521,Petrol,First Owner,154919
MG,173733,Petrol,Second Owner,87097
Volkswagen,32709,CNG,Second Owner,171403
Volkswagen,83428,Diesel,Fourth Owner,599634
Fiat,12943,Electric,Third Owner,140417
Jeep,177312,CNG,First Owner,492369
Nissan,179832,CNG,Fourth Owner,180017
Ford,24042,Diesel,Second Owner,507582
Toyota,46894,Electric,Second Owner,192003
Honda,140941,CNG,Fourth Owner,96904
Volvo,195150,Diesel,Third Owner,102320
BMW,59759,Electric,First Owner,343144
Isuzu,108973,LPG,First Owner,145341
Fiat,47306,Petrol,First Owner,399780
Renault,111369,Diesel,First Owner,239927
Datsun,189443,Petrol,Third Owner,284849
Chevrolet,154990,LPG,Second Owner,574306
Fiat,31379,CNG,Second Owner,181930
Maruti,123667,CNG,First Owner,469208
Honda,137034,Electric,First Owner,475796
Jeep,147923,Diesel,First Owner,383060
Nissan,120626,Diesel,Fourth Owner,265523
MG,179819,Electric,Fourth Owner,286847
Kia,128180,Petrol,Second Owner,194015
Jeep,55349,CNG,Second Owner,546383
Skoda,190428,CNG,First Owner,152342
Tata,148817,Diesel,Fourth Owner,568327
MG,8730,Diesel,Third Owner,330980
Skoda,147993,Electric,Fourth Owner,549584
Toyota,22023,LPG,Second Owner,384302
Skoda,179421,Petrol,Fourth Owner,567912
Isuzu,129796,LPG,Second Owner,436804
Ford,84533,LPG,First Owner,174221
Renault,86286,Diesel,Third Owner,299222
Toyota,44979,Diesel,First Owner,127318
Datsun,25837,Diesel,First Owner,382306
Renault,149069,LPG,Third Owner,466656
Maruti,107975,Petrol,Third Owner,364856
BMW,179111,Diesel,Third Owner,421722
Volkswagen,23923,CNG,Second Owner,564021
Jeep,11876,Petrol,First Owner,597521
Volkswagen,63973,CNG,Second Owner,216083
Chevrolet,136959,Petrol,Third Owner,573099
Honda,197795,Diesel,Second Owner,215600
Tata,45422,Electric,Third Owner,500047
Isuzu,54413,Diesel,Fourth Owner,466724
Volvo,105484,LPG,Third Owner,118772
Ford,136913,LPG,First Owner,589899
Fiat,31756,Petrol,First Owner,203354
Hyundai,74576,LPG,First Owner,517432
Kia,121248,Diesel,Second Owner,192412
Isuzu,13304,CNG,First Owner,408773
Volkswagen,33341,Diesel,Third Owner,398787
Ford,138830,Petrol,Fourth Owner,420754
Maruti,151082,LPG,First Owner,133035
Maruti,130039,CNG,Second Owner,461476
Isuzu,194830,Electric,Fourth Owner,104515
Fiat,165730,CNG,First Owner,159446
Datsun,183074,CNG,First Owner,109789
Nissan,135447,Diesel,Fourth Owner,82191
Datsun,102485,Electric,First Owner,217116
Volkswagen,25092,Petrol,Second Owner,554703
Maruti,134562,Petrol,Third Owner,588028
Hyundai,6729,CNG,Third Owner,261965
Renault,140046,CNG,Fourth Owner,494550
Honda,121222,LPG,Third Owner,163917
Maruti,88216,Electric,First Owner,599509
Jeep,86860,CNG,First Owner,113265
Tata,99870,LPG,Second Owner,575007
Datsun,24398,Electric,Third Owner,264514
Ford,37650,Petrol,Fourth Owner,182141
Ford,155364,LPG,First Owner,123285
Tata,106889,Electric,Fourth Owner,325079
Honda,6159,LPG,First Owner,546407
Ford,101162,CNG,First Owner,438831
Ford,196838,Diesel,Second Owner,471153
Kia,105834,Petrol,Third Owner,330684
Kia,151137,CNG,Second Owner,128283
Volvo,24638,CNG,Third Owner,520449
Datsun,4073,Electric,Fourth Owner,196293
Chevrolet,180583,LPG,Third Owner,366925
Renault,32320,Petrol,Fourth Owner,581375
Chevrolet,37924,CNG,First Owner,334933
Maruti,174806,Electric,Fourth Owner,499239
Volvo,71116,Petrol,Fourth Owner,476616
Volkswagen,174097,LPG,First Owner,228388
Volkswagen,5159,CNG,Fourth Owner,495278
Toyota,51940,CNG,Fourth Owner,165310
Maruti,82436,CNG,First Owner,514825
Datsun,17678,Petrol,First Owner,197816
Skoda,195147,Petrol,First Owner,519311
Hyundai,181276,Petrol,Third Owner,236589
Skoda,146093,Petrol,First Owner,148231
Mahindra,140844,Electric,First Owner,517153
Hyundai,70163,Diesel,Fourth Owner,550642
Honda,157536,Electric,Second Owner,588182
Isuzu,54137,CNG,Second Owner,472376
MG,164304,Electric,Third Owner,365239
